kz,сипаттама,ru,описание,en,description
Интеграза,АИТВ провирусының генетикалық материалының иесінің геномына енуін бақылайтын АИТВ ферменті. Integrase вирусқа қарсы препараттардың жаңа буынының мақсаты болып табылады.,Интеграза,"фермент в составе ВИЧ, управляющей функцией вторжения генетического материала провируса ВИЧ в геном хозяина. Интеграза является мишенью для нового поколения противовирусных препаратов.",Integrase,an enzyme in HIV that controls the function of invading the genetic material of the HIV provirus into the host genome. Integrase is a target for a new generation of antiviral drugs.
Инкубациялық кезең,бұл бастапқы инфекция мен аурудың алғашқы белгілерінің пайда болуы арасындағы уақыт кезеңі.,Инкубационный период,промежуток времени между первоначальным заражением и появлением первых симптомов заболевания.,Incubation period,the time interval between the initial infection and the appearance of the first symptoms of the disease.
Протеаза ингибиторлары,"АИВ көбеюі қажет фермент протеазаға әсер ете отырып, жаңа жасушаларды жұқтыруға қабілетсіз АИТВ вириондарын өндіретін вирусқа қарсы препараттар.",Ингибиторы протеазы,"противовирусные лекарственные препараты, которые, воздействуя на протеазу — фермент, необходимый ВИЧ для размножения, — приводят к образованию вирионов ВИЧ, неспособных инфицировать новые клетки.",Protease inhibitors,"antiviral drugs that, by acting on the protease — an enzyme necessary for HIV reproduction — lead to the formation of HIV virions that are unable to infect new cells."
Иммуноферменттік талдау,"АИВ-ке қарсы антиденелерді анықтауға арналған скрининг әдісі, ол тексерілетін топтағы барлық жұқтырған адамдарды, соның ішінде жалған оң нәтижелер деп аталатындарды анықтауға мүмкіндік береді.",Иммуноферментный анализ,"скрининговый метод определения антител к ВИЧ, который позволяет выявлять всех инфицированных лиц в подвергшейся тестированию группе, включая и так называемые ложно — положительные результаты. ",Enzyme immunoassay,"a screening method for determining antibodies to HIV, which makes it possible to identify all infected persons in the tested group, including the so—called false - positive results."
Иммуносупрессия,организмнің иммундық жүйесінің бір немесе бірнеше компоненттерінің белсенділігін басу. АИТВ-инфекциясы иммундық супрессияны және басқа иммундық бұзылуларды тудырады.,Иммуносупрессия,"метод лечения, который заключается в восстановлении или укреплении поврежденной иммунной системы.",Immunosuppression,a method of treatment that consists in restoring or strengthening the damaged immune system.
Иммуномодуляторлар,"қалыпты иммундық жауапты ынталандыратын, бағыттайтын немесе қалпына келтіретін табиғи немесе синтетикалық заттар. Мұндай заттарға интерферондар, интерлейкиндер, тимус гормондары және моноклональды антиденелер жатады.",Иммуномодуляторы,"природные или синтезированные вещества, которые стимулируют, направляют или восстанавливают нормальный иммунный ответ. К таким веществам относятся интерфероны, интерлейкины, гормоны вилочковой железы и моноклонные антитела.",Immunomodulators,"natural or synthesized substances that stimulate, direct or restore a normal immune response. Such substances include interferons, interleukins, thymus hormones and monoclonal antibodies."
Иммунодефицит,"неспособность некоторых звеньев иммунной системы нормально функционировать, в результате чего снижается сопротивляемость организма человека к инфекционным агентам и повышается вероятность развития различных заболеваний, к которым в ином случае пациент не был бы подвержен (см. оппортунистические инфекции). При заболеваниях, связанных с ВИЧ, разрушается клеточный иммунитет, связанный с функцией Т-лимфоцитов-помощников.",Иммунодефицит,"неспособность некоторых звеньев иммунной системы нормально функционировать, в результате чего снижается сопротивляемость организма человека к инфекционным агентам и повышается вероятность развития различных заболеваний, к которым в ином случае пациент не был бы подвержен (см. оппортунистические инфекции). При заболеваниях, связанных с ВИЧ, разрушается клеточный иммунитет, связанный с функцией Т-лимфоцитов-помощников.",Immunodeficiency,"the inability of some parts of the immune system to function normally, as a result of which the human body's resistance to infectious agents decreases and the likelihood of developing various diseases to which the patient would not otherwise be susceptible increases (see opportunistic infections). In HIV-related diseases, cellular immunity associated with the function of helper T-lymphocytes is destroyed."
Иммуноглобулиндер,"қан мен жұлын сұйықтығында кездесетін белоктар тобы және жұқпалы аурулардың қоздырғыштарынан қорғаныс механизміне қатысады. Иммуноглобулиндердің 5 класы бар: IgG, IgA, IgM, IgD және IgE.",Иммуноглобулины,"группа белков, содержащихся в крови и спинномозговой жидкости и участвующих в механизме защиты против возбудителей инфекционных болезней. Различают 5 классов иммуноглобулинов: IgG, IgA, IgM, IgD и IgE.",Immunoglobulins,"a group of proteins contained in the blood and cerebrospinal fluid and involved in the mechanism of protection against pathogens of infectious diseases. There are 5 classes of immunoglobulins: IgG, IgA, IgM, IgD and IgE."
Иммунблот,"қан сарысуын АИТВ-ға антиденелердің болуына зертханалық зерттеу әдісі; бұл дәлірек талдау, осы әдісті пайдаланып, берілген қан үлгісінде қандай ВИЧ протеиндерінде антиденелер бар екенін анықтауға болады. Осылайша, «АИТВ-инфекциясы» диагнозы ИФТ-да оң сынақ иммуноблотта оң нәтижемен расталғаннан кейін ғана мүмкін болады.",Иммуноблот,"метод лабораторного исследования сыворотки крови на присутствие антител к ВИЧ; это более точный анализ, чем , при помощи этого метода можно установить к каким белкам ВИЧ имеются антитела в данном образце крови. Таким образом, постановка диагноза «ВИЧ-инфекция» возможна только после того, как положительный тест в ИФА будет подтвержден положительным результатом в иммуноблоте.",Immunoblot,"the method of laboratory examination of blood serum for the presence of antibodies to HIV; this is a more accurate analysis than, with this method, it is possible to determine which HIV proteins have antibodies in a given blood sample. Thus, the diagnosis of ""HIV infection"" is possible only after a positive test in the ELISA is confirmed by a positive result in the immunoblot."
Иммундық жүйе,"бұл иммундық жауаптың дамуын қамтамасыз ететін органдардың, тіндердің және жасушалардың жиынтығы. Иммундық жүйенің орталық мүшелеріне сүйек кемігі мен тимус безі, ал шеткі органдарға көкбауыр, лимфа түйіндері және лимфоидты ұлпалардың басқа жинақтары жатады. Иммундық жүйе бөгде заттарды таниды, оларды бейтараптандырады және ұқсас патогенмен кездескен кезде оны кейінірек көбейту үшін оның реакциясын «есте сақтайды».",Иммунная система,"совокупность органов, тканей и клеток, обеспечивающих развитие иммунного ответа. К центральным органам иммунной системы относятся костный мозг и вилочковая железа, к периферическим — селезенка, лимфатические узлы и другие скопления лимфоидной ткани. Иммунная система распознает чужеродные вещества, нейтрализует их и «запоминает» свой ответ, чтобы воспроизвести его впоследствии при столкновении с аналогичным патогеном.",The immune system,"a set of organs, tissues and cells that ensure the development of an immune response. The central organs of the immune system include the bone marrow and thymus gland, the peripheral organs include the spleen, lymph nodes and other clusters of lymphoid tissue. The immune system recognizes foreign substances, neutralizes them and ""remembers"" its response in order to reproduce it later when confronted with a similar pathogen."
Иммунитет,"организмнің инфекциялық және жұқпалы емес қоздырғыштар мен заттарға: бактерияларға, вирустарға, уларға және организмге бөтен өнімдерге қарсы иммунитеті. Туа біткен және жүре пайда болған иммунитетті ажыратыңыз. Туа біткен иммунитет басқа да генетикалық белгілер сияқты тұқым қуалайды. Алынған иммунитет (ол белсенді немесе пассивті түрде алынуы мүмкін) ауру немесе вакцинация нәтижесінде пайда болады және тұқым қуаламайды.",Иммунитет,"невосприимчивость организма к инфекционным и неинфекционным агентам и веществам: бактериям, вирусам, ядам и другим продуктам, чужеродным для организма. Различают врожденный и приобретенный иммунитет. Врожденный иммунитет передается по наследству, как и другие генетические признаки. Приобретенный иммунитет (он может быть активно или пассивно приобретенным) возникает в результате перенесенной болезни или вакцинации и по наследству не передается.",Immunity,"immunity of the body to infectious and non-infectious agents and substances: bacteria, viruses, poisons and other products foreign to the body. There are innate and acquired immunity. Innate immunity is inherited, as are other genetic traits. Acquired immunity (it can be actively or passively acquired) occurs as a result of a previous illness or vaccination and is not inherited."
Изоспороз,әдетте төменгі асқазан-ішек жолдарын зақымдайтын қарапайымды инфекция. Симптомдары криптоспоридиозға ұқсас. Әдетте емдеуге жақсы жауап береді.,Изоспороз,"протозойная инфекция, поражающая, как правило, нижнюю часть желудочно-кишечного тракта. Симптомы сходны с криптоспоридиозом. Обычно хорошо поддается лечению.",Isosporosis,"protozoal infection, affecting, as a rule, the lower part of the gastrointestinal tract. The symptoms are similar to cryptosporidiosis. It usually responds well to treatment."
Изониазид,жедел туберкулездің алдын алу және (басқа препараттармен бірге) емдеу үшін қолданылатын пероральді препарат.,Изониазид,"препарат, применяемый перорально для профилактики и (в сочетании с другими лекарствами) для лечения острого туберкулеза.",Isoniazid,a drug used orally for prevention and (in combination with other medications) for the treatment of acute tuberculosis.
Идиопатиялық,белгісіз шығу тегі.,Идиопатический,неясного происхождения.,Idiopathic,of unclear origin.
Баяулау,"кедейлену, монотондылық (сөйлеу, ойлау, қозғалыстар).",Заторможенность,"замедление темпа, обеднение, однообразие (речи, мышления, движений).",Inhibition,"slowing down, impoverishment, monotony (speech, thinking, movements)."
Сырқаттанушылық,белгілі бір уақыт аралығында белгілі бір популяциядағы аурудың жаңа жағдайларының саны.,Заболеваемость,"состояние, определяющееся обилием психипатологических расстройств, в связи, с чем больной поглощен ими и не реагирует на окружающее.",Morbidity,"a condition defined by an abundance of psychopathological disorders, in connection with which the patient is absorbed by them and does not react to the environment."
Сарғаю,"қандағы билирубиннің артық мөлшерінің жиналуынан туындайтын терінің және көздің ақ қабатының сары пигментациясы (түсі). Сарғаю - бауыр, өт жолдары және гемолиз ауруларының (эритроциттердің шамадан тыс бұзылуы) тән белгілерінің бірі. Кез келген сарғаюдың себебі білім мен экскреция арасындағы теңгерімсіздік болып табылады.",Желтуха,"желтая пигментация (окраска) кожи и белков глаз, вызванная накоплением в крови избыточного количества билирубина. Желтуха — один из характерных симптомов заболеваний печени, желчных протоков, а также гемолиза (избыточного разрушения эритроцитов). Причина любой желтухи — нарушение равновесия между образованием и выделением .",Jaundice,"yellow pigmentation (coloration) of the skin and the whites of the eyes caused by the accumulation of excessive amounts of bilirubin in the blood. Jaundice is one of the characteristic symptoms of liver diseases, bile ducts, and hemolysis (excessive destruction of red blood cells). The cause of any jaundice is a violation of the balance between formation and excretion ."
Допинг,организмге енгізілген кезде физикалық және психикалық белсенділікті уақытша арттыратын фармакологиялық және басқа да препараттар.,Допинг,"фармакологические и другие средства, которые при введении в организм временно усиливают физическую и психическую активность.",Doping,"pharmacological and other drugs that, when injected into the body, temporarily enhance physical and mental activity."
Ұзақ мерзімді асимптоматикалық тасымалдаушылар,"жеті жыл немесе одан да көп уақыт бойы АИТВ-ны жұқтырған және қанның текше миллиметріне CD4+ жасушаларының саны 600-ден жоғары, АИТВ-мен байланысты аурулардың ешқайсысынан зардап шекпейтін және ешқашан жұқтырмаған адамдар. кез келген вирусқа қарсы ем. Кейбір ғалымдар бұл құбылысты мұндай адамдарда лимфоидты тіндердің тұтастығы бұзылмайтындығымен, басқа АИТВ жұқтырған адамдарға қарағанда лимфа түйіндерінде вирустың аз жиналуымен түсіндіреді.",Долговременные бессимптомные носители,"люди, инфицированные ВИЧ в течение семи и более лет и при этом имеющие неизменно высокое, выше 600, количество клеток CD4+ на кубический миллиметр крови, не страдающие ни одним из обусловленных ВИЧ заболеваний и никогда не проходившие никакого противовирусного лечения. Некоторые ученые объясняют этот феномен тем, что у таких людей не нарушена целостность лимфоидных тканей, и в лимфоузлах накапливается меньшее количество вируса, чем у остальных людей с ВИЧ.",Long-term asymptomatic carriers,"people who have been infected with HIV for seven years or more and at the same time have a consistently high, above 600, number of CD4+ cells per cubic millimeter of blood, do not suffer from any of the HIV-related diseases and have never undergone any antiviral treatment. Some scientists explain this phenomenon by the fact that the integrity of lymphoid tissues is not broken in such people, and a smaller amount of virus accumulates in the lymph nodes than in other people with HIV."
ДНҚ – дезоксирибонуклеин қышқылы,"Генетикалық кодты қамтитын жасуша ядросының бөлігі. Тұқым қуалайтын белгілердің тасымалдаушысы болып табылатын хромосомалардың негізгі құрамдас бөлігі. ДНҚ бір-біріне параллель бекітілген және қос спиральға бұралған екі полинуклеотидтік тізбектен тұрады. ДНҚ мөлшері белгілі бір өсімдік немесе жануар түрінің (адамдарды қоса алғанда) барлық жасушалары үшін, берілген жасушаның өлшеміне немесе қызметіне қарамастан тұрақты.",ДНК,"дезоксирибонуклеиновая кислота. Составная часть ядра клетки, содержащая генетический код. Главная составляющая часть хромосом, являющихся носителями наследственных признаков. ДНК построена из двух полинуклеотидных цепей, фиксированных параллельно друг другу и закрученных в двойную спираль. Количество ДНК постоянно для всех типов клеток данного вида растений или животных (в том числе человека), независимо от размеров или функции данной клетки. ",DNA,"deoxyribonucleic acid. An integral part of the cell nucleus containing the genetic code. The main component of the chromosomes that are carriers of hereditary traits. DNA is constructed from two polynucleotide chains fixed parallel to each other and twisted into a double helix. The amount of DNA is constant for all cell types of a given plant or animal species (including humans), regardless of the size or function of a given cell."
Диффузды,"төгілген, бір жерде шоғырланбаған.",Диффузный,"разлитой, не сконцентрированный в каком-либо одном месте.",Diffuse,"spilled, not concentrated in any one place."
Дисфагия,жұтынудың бұзылуы.,Дисфагия,расстройство глотания.,Dysphagia,swallowing disorder.
Дистрофия,жеткіліксіз немесе дұрыс тамақтанбаудан туындаған ауру; бұлшықет дистрофиясы сияқты дистрофияның кейбір түрлері тұқым қуалайды.,Дистрофия,"заболевание, вызванное недостаточным или неправильным питанием; некоторые формы дистрофии, такие как мышечная дистрофия, обусловлены наследственностью.",Dystrophy,"a disease caused by insufficient or improper nutrition; some forms of dystrophy, such as muscular dystrophy, are due to heredity."
Диссеминирлену,бүкіл органға немесе денеге шашыранды.,Диссеминированный,рассеянный по всему органу или организму.,Disseminated,scattered throughout the organ or body.
Диспенсия,ас қорыту жүйесінің бұзылуы.,Диспепсия,расстройство пищеварения.,Dyspepsia,digestive disorder.
Дискордент жұптар,"бір серіктесі АҚТҚ жұқтырған, екіншісі АИТВ теріс жұптар.",Дискордантные пары,"это пары, в которых один из партнеров ВИЧ-положительный, а другой ВИЧ-отрицательный.",Discordant pairs,these are couples in which one of the partners is HIV-positive and the other is HIV-negative.
Оптикалық диск,бұл миға апаратын қан тамырлары мен жүйке талшықтары бар көздің артқы жағындағы сопақ аймақ.,Диск зрительного нерва,"овальный участок на задней стенке глаза, который содержит кровеносные сосуды и нервные волокна, ведущие к мозгу.",Optic nerve disc,an oval area on the back wall of the eye that contains blood vessels and nerve fibers leading to the brain.
Дизентерия,"шигелла тұқымдасына жататын бактериялар тудыратын жұқпалы ауру. Берілу механизмі фекальды-ауызша. Дизентерия кезінде ас қорыту бұзылыстары, іштің ауыруы, құсу, шырыш пен қан аралас диарея байқалады. Егер емделмеген болса, ол өмірге қауіп төндіретін формаларға айналуы мүмкін..",Дизентерия,"инфекционная болезнь, вызываемая бактериями из рода шигелл. Механизм передачи — фекально-оральный. При дизентерии наблюдаются нарушения пищеварения, боли в животе, рвота, понос с примесью слизи и крови. При отсутствии лечения может принимать опасные для жизни формы.",Dysentery,"an infectious disease caused by bacteria from the genus shigella. The mechanism of transmission is fecal-oral. Dysentery causes digestive disorders, abdominal pain, vomiting, diarrhea with an admixture of mucus and blood. In the absence of treatment, it can take life-threatening forms."
Диарея,"әдеттен тыс жиі және бос нәжіс. ЖҚТБ-мен ауыратын адамдардың барлығы дерлік аурудың белгілі бір кезеңінде диареяны дамытады. Ұзақ және ауыр диарея салмақ жоғалтуға және дұрыс тамақтанбауға әкеледі. Диарея - сусыздану - сұйықтықтың шамадан тыс жоғалуы - өмірге қауіп төндіретін. ЖИТС кезінде диарея әртүрлі себептермен пайда болуы мүмкін; диареяны тудыратын ең көп таралған инфекцияларға мыналар жатады: цитомегаловирус; паразиттік - криптоспоридиоз, микроспоридиоз, лямблиоз; бактериялық - микобактериоз. Барлық адамдарда, соның ішінде сау адамдарда диарея белгілерін тудыратын бактериялар мен паразиттер АИТВ және ЖҚТБ-мен әсіресе қауіпті, өйткені олар ұзаққа созылатын, ауыр немесе қайталанатын (қайталанатын) диареяға әкеледі.",Диарея,"понос, ненормально частый и жидкий стул. Почти у всех больных СПИДом в определенный период заболевания развивается диарея. Длительная и тяжелая диарея приводит к потере веса и истощению. При диарее происходит обезвоживание организма — чрезмерная потеря жидкости — что представляет угрозу для жизни. При СПИДе диарея может возникать по различным причинам; к самым распространенным инфекциям, вызывающим диарею, относятся: цитомегаловирусная; паразитарные — криптоспоридиоз, микроспоридиоз, лямблиоз; бактериальные — микобактериоз. Бактерии и паразиты, вызывающие симптомы диареи у всех людей, в том числе здоровых, при ВИЧ и СПИДе особенно опасны, т. к. приводят к более длительной, тяжелой или рецидивирующей (повторяющейся) диарее.",Diarrhea,"diarrhea, abnormally frequent and loose stools. Almost all AIDS patients develop diarrhea during a certain period of the disease. Prolonged and severe diarrhea leads to weight loss and exhaustion. With diarrhea, dehydration occurs — excessive loss of fluid — which is life-threatening. With AIDS, diarrhea can occur for various reasons; the most common infections that cause diarrhea include: cytomegalovirus; parasitic — cryptosporidiosis, microsporidiosis, giardiasis; bacterial — mycobacteriosis. Bacteria and parasites that cause symptoms of diarrhea in all people, including healthy people, with HIV and AIDS are especially dangerous, because they lead to longer, severe or recurrent (recurring) diarrhea."
Десенсибилизация,антигенге (аллергенге) аллергиялық реакцияның төмендеуі немесе жойылуы.,Десенсибилизация,снижение или устранение аллергической реакции на какой-либо антиген (аллерген).,Desensitization,reduction or elimination of an allergic reaction to an antigen (allergen).
Депрессия,"бұл күйзеліс немесе мұңды көңіл-күймен, психикалық белсенділіктің төмендеуімен, интеллектуалдық енжарлықпен, қозғалыстың бұзылуымен сипатталатын жағдай.",Депрессия,"состояние, характеризующееся угнетенным или тоскливым настроением снижением психической активности, интеллектуальной индифферентностью и двигательными расстройствами.",Depression,"a condition characterized by a depressed or dreary mood, a decrease in mental activity, intellectual indifference and motor disorders."
Дендрит жасушалары,"иммундық жүйе жасушаларының бір түрі, олар бөгде заттарды ұстайтын ұзын, шандыр тәрізді бұтақтары бар. Дендрит жасушалары «бақылаушы» ретінде әрекет ете отырып, вирусты бастапқы инвазия орнынан басқа жасушалар жұқтырған лимфа түйіндеріне тасымалдау арқылы АИТВ ауруын бастауға көмектеседі.",Дендритные клетки ,"тип клеток иммунной системы, имеющих длинные, похожие на щупальца, ответвления, которыми они захватывают чужеродные объекты. Выполняя функцию «патруля», дендритные клетки могут способствовать началу развития ВИЧ-заболевания, перенося вирус с места его первичного вторжения к лимфоузлам, где заражению подвергаются другие клетки.",Dendritic cells,"a type of immune system cells that have long, tentacle-like branches that they use to capture foreign objects. Performing the function of a ""patrol"", dendritic cells can contribute to the onset of HIV disease by transferring the virus from the site of its primary invasion to the lymph nodes, where other cells are infected."
Деменция,"ЖИТС-пен: әртүрлі клиникалық көріністері бар неврологиялық ауру, оған мыналар кіреді: қозғалыстардың координациясының жоғалуы, кенеттен негізсіз көңіл-күйдің өзгеруі, өзінің және басқалардың әрекеттерін сыни қабылдау қабілетінің бұзылуы, кейінгі кезеңдерде - прогрессивті жоғалту. есте сақтау, ойлау өнімділігі және тұлғаның жеке қасиеттері. ЖҚТБ-мен байланысты деменцияның себебі АИТВ-мен тікелей байланысты.",Деменция,"при СПИДе: неврологическое заболевание с различными клиническими проявлениями, к которым относятся: потеря координации движений, резкие необоснованные перемены настроения, нарушение способности критически воспринимать собственные и чужие действия, на поздних стадиях — прогрессирующая утрата памяти, продуктивности мышления и индивидуальных черт личности. Считается, что СПИД-обусловленную деменцию вызывает непосредственно ВИЧ.",Dementia,"in AIDS: a neurological disease with various clinical manifestations, which include: loss of coordination of movements, sudden unreasonable mood changes, impaired ability to critically perceive one's own and others' actions, in the later stages — progressive loss of memory, productivity of thinking and individual personality traits. It is believed that AIDS-related dementia is caused directly by HIV."
Дезинтоксикация,улы заттардың ағзаға әсерін тоқтатуға немесе азайтуға бағытталған емдік шаралар.,Дезинтоксикация,"лечебные меры, направленные на прекращение или снижение действия на организм токсических веществ.",Detoxification,therapeutic measures aimed at stopping or reducing the effect of toxic substances on the body.
Дезадотация,организмнің өзгермелі сыртқы және ішкі жағдайларға бейімделуінің (асырап алуының) бұзылуы.,Дезадоптация,нарушение приспособления (адоптации) организма к меняющимся условиям окружающей и внутренней среды.,Disadaptation,violation of the adaptation (adaptation) of the organism to changing environmental and internal conditions.
Дегенерация,"жасушалардың бейтарап жұмыс істеу қабілетін жоғалтуды тудыратын кері даму, жасушалардың «қайта туылуы» процесі.",Дегенерация,"процесс обратного развития, «перерождения» клеток, обуславливающий утрату клеток способности к нейтральному функционированию.",Degeneration,"the process of reverse development, ""rebirth"" of cells, causing the loss of cells' ability to function neutrally."
Екі жақты соқыр зерттеу,"зерттеуші де, зерттелуші де (субъект) зерттелуші қандай да бір дәрі-дәрмек қабылдап жатқанын немесе қабылдамайтынын және егер қабылданса, қайсысын білмейтін медициналық зерттеу әдісі. Тәжірибе соңында «жіктен ажырату» жүргізіледі, алынған мәліметтер салыстырылады және талданады. Бұл әдіс экспериментатордың немесе зерттеу субъектісі тарапынан кез келген ауытқуды болдырмау үшін қолданылады.",Двойное слепое исследование,"метод медицинского исследования, при котором ни исследователь, ни исследуемый (субъект) не знают, получает ли субъект какое-либо лекарство и если получает, то какое. В конце эксперимента производится «рассекречивание», полученные данные сравнивают и анализируют. Данным методом пользуются, чтобы исключить любую необъективность со стороны экспериментатора или субъекта исследования.",Double-blind study,"a method of medical research in which neither the researcher nor the subject (subject) knows whether the subject is receiving any medicine and if so, which one. At the end of the experiment, a ""declassification"" is performed, the data obtained is compared and analyzed. This method is used to exclude any bias on the part of the experimenter or the subject of the study."
Дапсон,"пневмоцисттік пневмонияны, алапесті және басқа да ауруларды тудыратын қоздырғыштарға және аз дәрежеде токсоплазмозға және ШРК-ға қарсы қолданылатын антибиотик.",Дапсон,"антибиотик, применяемый против возбудителей пневмоцистной пневмонии, лепры и других заболеваний, и в меньшей степени токсоплазмоза и МАК.",Dapsone,"an antibiotic used against pathogens of pneumocystis pneumonia, leprosy and other diseases, and to a lesser extent toxoplasmosis and POPPY."
Гуморальды иммундық реакция,жауап В-лимфоциттер арқылы жүзеге асырылатын иммундық жауап болып табылады және антиденелердің түзілуін қамтиды. Гуморальды иммунитет интерлейкин-4 және интерлейкин-10 цитокиндерін өндірумен байланысты.,Гуморальная иммунная реакция,"иммунная реакция, осуществляемая посредством В-лимфоцитов и включающая производство антител. Гуморальный иммунитет связан с выработкой цитокинов интерлейкина-4 и интерлейкина-10.",Humoral immune response,an immune reaction carried out by means of B-lymphocytes and involving the production of antibodies. Humoral immunity is associated with the production of cytokines interleukin-4 and interleukin-10.
Гранулоциттер,"иммундық жүйенің ақ қан жасушалары. Гранулоциттерге базофилдер, нейтрофилдер және т.б.",Гранулоциты,"белые кровяные клетки иммунной системы. К гранулоцитам относятся базофилы, нейтрофилы и др.",Granulocytes,"white blood cells of the immune system. Granulocytes include basophils, neutrophils, etc."
Гранулоцитопения,қандағы гранулоциттердің қалыптыдан төмен деңгейі. Көбінесе нейтропения сияқты мағынада қолданылады.,Гранулоцитопения,"ненормально низкий уровень гранулоцитов в крови. Часто используется в том же значении, что и нейтропения.",Granulocytopenia,abnormally low level of granulocytes in the blood. It is often used in the same meaning as neutropenia.
Гормон,"организмнің бір бөлігінде (ішкі секреция бездерінде) түзілетін және қан айналымымен дененің басқа бөлігіне, кез келген мүшеге немесе ұлпаға тасымалданатын, олардың құрылымын өзгертуге химиялық сигнал беретін белсенді химиялық зат. немесе функциялар.",Гормон,"активное химическое вещество, которое образуется в одной части организма (в эндокринных железах) и переносится с током крови в другую часть организма, к какому либо органу или ткани, чтобы дать химический сигнал к изменению их структуры или функций.",Hormone,"an active chemical substance that is formed in one part of the body (in the endocrine glands) and is transferred with the blood flow to another part of the body, to any organ or tissue, in order to give a chemical signal to change their structure or functions."
Гонорея,жыныстық жолмен берілетін ауру: гонококк бактериясынан туындаған жыныс мүшелерінің шырышты қабығының қабынуы.,Гонорея,"передающееся половым путем заболевание: воспаление слизистой оболочки половых органов, вызываемое бактерией гонококком.",Gonorrhea,sexually transmitted disease: inflammation of the mucous membrane of the genital organs caused by the bacterium gonococcus.
Гликопротеиндер,"белок емес бөлігі көмірсу (мысалы, қант молекуласы) болатын күрделі белоктар (белоктар). gp41 гликопротеидтері АИТВ-ның сыртқы қабығында орналасқан және вирустың CD4+ жасушаларын жұқтыруында маңызды рөл атқарады, өйткені олар вирус пен жасуша мембраналарының бірігуін жеңілдетеді. gp120 гликопротеині АИВ бетінен шығып, CD4+ жасушаларына қосылуға қызмет етеді.",Гликопротеины,"сложные протеины (белки), в которых небелковая часть представляет собой углевод (напр., молекулу сахара). Гликопротеины gp41 вкраплены во внешнюю оболочку ВИЧ и играют ключевую роль в заражении вирусом клеток CD4+, поскольку способствует слиянию мембран вируса и клетки. Гликопротеин gp120 выступает над поверхностью ВИЧ и служит для прикрепления к клеткам CD4+.",Glycoproteins,"complex proteins (proteins) in which the non-protein part is a carbohydrate (e.g., a sugar molecule). GP41 glycoproteins are embedded in the outer shell of HIV and play a key role in infecting CD4+ cells with the virus, as it promotes the fusion of virus and cell membranes. GP120 glycoprotein protrudes above the surface of HIV and serves to attach to CD4+ cells."
